# Month   AverageTemperature   Uncertainty
1   2.275   1.309
2   2.950   1.285
3   4.957   1.034
4   8.249   0.877
5   11.069   0.813
6   13.293   0.772
7   14.200   0.777
8   13.708   0.775
9   11.679   0.759
10   8.852   0.795
11   5.699   0.955
12   3.187   1.068
